DROP,REGION,YEAR,WEEK
0,0,1997,40
1,1,1997,40
2,2,1997,40
3,3,1997,40
4,4,1997,40
5,5,1997,40
6,6,1997,40
7,7,1997,40
8,8,1997,40
9,0,1997,41
10,1,1997,41
11,2,1997,41
12,3,1997,41
13,4,1997,41
14,5,1997,41
15,6,1997,41
16,7,1997,41
17,8,1997,41
18,0,1997,42
19,1,1997,42
20,2,1997,42
21,3,1997,42
22,4,1997,42
23,5,1997,42
24,6,1997,42
25,7,1997,42
26,8,1997,42
27,0,1997,43
28,1,1997,43
29,2,1997,43
30,3,1997,43
31,4,1997,43
32,5,1997,43
33,6,1997,43
34,7,1997,43
35,8,1997,43
36,0,1997,44
37,1,1997,44
38,2,1997,44
39,3,1997,44
40,4,1997,44
41,5,1997,44
42,6,1997,44
43,7,1997,44
44,8,1997,44
45,0,1997,45
46,1,1997,45
47,2,1997,45
48,3,1997,45
49,4,1997,45
50,5,1997,45
51,6,1997,45
52,7,1997,45
53,8,1997,45
54,0,1997,46
55,1,1997,46
56,2,1997,46
57,3,1997,46
58,4,1997,46
59,5,1997,46
60,6,1997,46
61,7,1997,46
62,8,1997,46
63,0,1997,47
64,1,1997,47
65,2,1997,47
66,3,1997,47
67,4,1997,47
68,5,1997,47
69,6,1997,47
70,7,1997,47
71,8,1997,47
72,0,1997,48
73,1,1997,48
74,2,1997,48
75,3,1997,48
76,4,1997,48
77,5,1997,48
78,6,1997,48
79,7,1997,48
80,8,1997,48
81,0,1997,49
82,1,1997,49
83,2,1997,49
84,3,1997,49
85,4,1997,49
86,5,1997,49
87,6,1997,49
88,7,1997,49
89,8,1997,49
90,0,1997,50
91,1,1997,50
92,2,1997,50
93,3,1997,50
94,4,1997,50
95,5,1997,50
96,6,1997,50
97,7,1997,50
98,8,1997,50
99,0,1997,51
100,1,1997,51
101,2,1997,51
102,3,1997,51
103,4,1997,51
104,5,1997,51
105,6,1997,51
106,7,1997,51
107,8,1997,51
108,0,1997,52
109,1,1997,52
110,2,1997,52
111,3,1997,52
112,4,1997,52
113,5,1997,52
114,6,1997,52
115,7,1997,52
116,8,1997,52
117,0,1997,53
118,1,1997,53
119,2,1997,53
120,3,1997,53
121,4,1997,53
122,5,1997,53
123,6,1997,53
124,7,1997,53
125,8,1997,53
126,0,1998,1
127,1,1998,1
128,2,1998,1
129,3,1998,1
130,4,1998,1
131,5,1998,1
132,6,1998,1
133,7,1998,1
134,8,1998,1
135,0,1998,2
136,1,1998,2
137,2,1998,2
138,3,1998,2
139,4,1998,2
140,5,1998,2
