DROP,%UNWEIGHTED ILI
0,0.623848
1,1.32138
2,0.818738
3,1.27939
4,0.72338
5,0.0688705
6,0.747384
7,2.27633
8,3.23494
9,0.815801
10,1.13255
11,1.06078
12,0.814736
13,0.79041
14,0.0202143
15,0.877193
16,2.46139
17,3.04965
18,1.22584
19,1.98675
20,1.03141
21,0.89172
22,0.829771
23,0.0414594
24,0.89955
25,2.16592
26,2.22017
27,1.62169
28,1.96721
29,0.98789
30,0.739697
31,0.334635
32,0.0504032
33,1.059
34,2.31529
35,1.07447
36,0.780165
37,1.12721
38,1.3443
39,0.648686
40,0.966329
41,0.026448
42,1.69492
43,2.44349
44,1.78317
45,0.834461
46,1.4936
47,1.51128
48,0.781893
49,0.773329
50,0.0362319
51,1.92308
52,1.85571
53,2.10266
54,0.607441
55,2.58745
56,1.30957
57,1.04505
58,0.93423
59,0
60,2.118
61,2.48437
62,3.43944
63,0.707471
64,2.9149
65,1.6234
66,1.12477
67,1.08235
68,0.158103
69,2.61137
70,2.87365
71,1.97954
72,1.0518
73,2.07469
74,2.02541
75,0.949848
76,1.08593
77,0
78,2.44821
79,2.4673
80,1.50943
81,1.2047
82,1.68367
83,1.74846
84,1.12644
85,1.11923
86,0.0261301
87,2.7027
88,2.4717
89,1.55405
90,1.00219
91,2.30461
92,1.94459
93,1.70772
94,1.48838
95,0.151561
96,2.54873
97,2.49568
98,2.08333
99,0.910094
100,3.56898
101,1.84007
102,1.61363
103,1.59314
104,0.139567
105,3.861
106,3.56173
107,2.48212
108,1.25144
109,3.27983
110,3.29661
111,1.62675
112,3.67454
113,0.0662252
114,4.62633
115,3.8409
116,4.25532
117,2.678
118,3.66577
119,4.00501
120,3.46438
121,2.58981
122,0.845351
123,6.79887
124,4.0389
125,7.97697
126,1.92531
127,5.06403
128,2.71127
129,2.92316
130,3.47939
131,0.86593
132,7.33591
133,5.85662
134,5.36246
135,1.84365
136,4.64049
137,2.71645
138,4.08813
139,3.63327
140,0.833985
141,6.09418
142,6.02466
143,4.89308
144,3.06924
145,4.82997
146,3.96873
147,8.26842
148,2.85805
149,2.0112
150,4.34193
151,6.5441
152,8.55457
153,4.36508
154,4.94479
155,5.12162
156,9.08171
157,2.99639
158,1.98735
159,4
160,5.70478
161,6.79581
162,6.01561
163,5.08083
164,4.80304
165,9.87279
166,2.8169
167,1.7341
168,6.66667
169,4.22625
170,5.60967
171,5.61518
172,4.85313
173,3.87943
174,6.46633
175,2.80089
176,2.55567
177,6.28492
178,2.96549
179,5.36301
180,5.12469
181,3.22222
182,3.18339
183,3.28947
184,2.37672
185,1.00849
186,4.6729
187,2.28536
188,4.96622
189,2.58802
190,2.32822
191,2.14297
192,2.97872
193,1.64996
194,0.365186
195,4.03338
196,2.09083
197,2.98669
198,1.57886
199,2.07577
200,1.32517
201,1.51914
202,1.14183
203,0.335196
204,2.32558
205,1.5429
206,2.71739
207,0.652103
208,2.95739
209,1.96581
210,1.18676
211,0.848574
212,0.365535
213,2.42424
214,1.31048
215,2.88231
216,0.332502
217,2.5
218,1.37571
219,1.45278
220,0.883524
221,0.0358809
222,1.25984
223,0.987616
224,1.68539
225,0.31635
226,2.77939
227,0.956814
228,0.49663
229,1.03111
230,0.0366569
231,0.482315
232,1.35218
233,1.74129
234,0.257022
235,2.69231
236,0.784147
237,0.691754
238,0.583554
239,0.111359
240,0.162075
241,0.806772
242,1.48798
243,0.243309
244,2.23136
245,1.01128
246,0.843223
247,0.684532
248,0.0462963
249,0
250,0.894648
251,1.73709
252,0.116306
253,1.56018
254,0.576214
255,1.30529
256,0.444586
257,0.038625
258,0.372439
259,0.638236
260,1.56375
261,0.149105
262,2.3088
263,0.734226
264,0.36075
265,0.60551
266,0.0406339
267,0.327332
268,0.787655
269,1.23932
270,0.069029
271,1.6163
272,0.83201
273,0.692574
274,0.65961
275,0.0410172
276,0
277,0.673882
278,1.54457
279,0.128932
280,1.04418
281,0.745752
282,0.463744
283,0.645974
284,0
285,0
286,0.706822
287,0.809889
288,0.103842
289,1.11111
290,0.599639
291,0.494604
292,0.483209
293,0
294,0
295,1.22362
296,0.978307
297,0.0561798
298,0.883002
299,0.626243
300,0.140845
301,0.739075
302,0.04914
303,0
304,1.38737
305,1.38304
306,0.505618
307,1.72463
308,0.558599
309,0.534313
310,0.348331
311,0.722335
312,0.0579374
313,1.2417
314,0.930736
315,0.428555
316,1.09053
317,0.762662
318,0.860876
319,0.818474
320,0.714436
321,0
322,0.999236
323,0.895979
324,0.593585
325,1.45488
326,0.712661
327,1.13892
328,0.569517
329,0.585652
330,0.412128
331,1.3111
332,1.23762
333,0.363851
334,1.36528
335,1.54039
336,1.76733
337,0.856677
338,0.589159
339,0.197183
340,1.15856
341,1.51485
342,0.520776
343,2.40625
344,0.513505
345,1.14609
346,1.12948
347,1.1825
348,0.713679
349,1.30191
350,1.69703
351,0.770469
352,1.98175
353,0.563953
354,0.97561
355,1.25808
356,1.5012
357,0.252525
358,1.19715
359,1.26002
360,0.755304
361,2.05663
362,0.66242
363,1.29491
364,1.32977
365,1.17948
366,0.695825
367,1.41598
368,1.23159
369,0.658436
370,2.3022
371,1.68981
372,1.05188
373,1.73396
374,1.82942
375,0.830662
376,1.40632
377,1.21917
378,0.719881
379,1.70732
380,0.949624
381,1.27566
